t_readout_s,T_K,P_err_default,P_err_small_barrier
3.246501e-09,3.71644,4.999709e-01,1.717981e-01
3.246501e-09,3.89726,4.999517e-01,1.701512e-01
3.246501e-09,4.07808,4.999234e-01,1.696973e-01
3.246501e-09,4.25890,4.998831e-01,1.702842e-01
3.246501e-09,4.43973,4.998278e-01,1.717737e-01
3.246501e-09,4.62055,4.997539e-01,1.740406e-01
3.246501e-09,4.80137,4.996576e-01,1.769721e-01
3.246501e-09,4.98219,4.995350e-01,1.804669e-01
3.246501e-09,5.16301,4.993822e-01,1.844345e-01
3.246501e-09,5.34384,4.991948e-01,1.887943e-01
3.246501e-09,5.52466,4.989690e-01,1.934748e-01
3.246501e-09,5.70548,4.987008e-01,1.984129e-01
3.246501e-09,5.88630,4.983863e-01,2.035530e-01
3.246501e-09,6.06712,4.980219e-01,2.088464e-01
3.246501e-09,6.24795,4.976045e-01,2.142505e-01
3.246501e-09,6.42877,4.971309e-01,2.197286e-01
3.246501e-09,6.60959,4.965985e-01,2.252484e-01
3.246501e-09,6.79041,4.960050e-01,2.307827e-01
3.246501e-09,6.97123,4.953486e-01,2.363077e-01
3.246501e-09,7.15205,4.946276e-01,2.418034e-01
3.246501e-09,7.33288,4.938409e-01,2.472527e-01
3.246501e-09,7.51370,4.929878e-01,2.526415e-01
3.246501e-09,7.69452,4.920678e-01,2.579578e-01
3.246501e-09,7.87534,4.910810e-01,2.631919e-01
3.246501e-09,8.05616,4.900277e-01,2.683358e-01
3.246501e-09,8.23699,4.889086e-01,2.733831e-01
3.246501e-09,8.41781,4.877246e-01,2.783290e-01
3.246501e-09,8.59863,4.864770e-01,2.831695e-01
3.246501e-09,8.77945,4.851674e-01,2.879021e-01
3.246501e-09,8.96027,4.837974e-01,2.925247e-01
3.246501e-09,9.14110,4.823692e-01,2.970365e-01
3.246501e-09,9.32192,4.808849e-01,3.014369e-01
3.246501e-09,9.50274,4.793468e-01,3.057262e-01
3.246501e-09,9.68356,4.777576e-01,3.099048e-01
3.246501e-09,9.86438,4.761198e-01,3.139738e-01
4.357821e-09,0.10000,5.000000e-01,5.000000e-01
4.357821e-09,0.28082,5.000000e-01,4.999910e-01
4.357821e-09,0.46164,5.000000e-01,4.988449e-01
4.357821e-09,0.64247,5.000000e-01,4.904342e-01
4.357821e-09,0.82329,5.000000e-01,4.692346e-01
4.357821e-09,1.00411,5.000000e-01,4.364246e-01
4.357821e-09,1.18493,5.000000e-01,3.969457e-01
4.357821e-09,1.36575,5.000000e-01,3.557271e-01
4.357821e-09,1.54658,5.000000e-01,3.161899e-01
4.357821e-09,1.72740,5.000000e-01,2.802254e-01
4.357821e-09,1.90822,5.000000e-01,2.486416e-01
4.357821e-09,2.08904,5.000000e-01,2.216021e-01
4.357821e-09,2.26986,5.000000e-01,1.989338e-01
4.357821e-09,2.45068,4.999999e-01,1.803105e-01
4.357821e-09,2.63151,4.999996e-01,1.653529e-01
4.357821e-09,2.81233,4.999988e-01,1.536779e-01
4.357821e-09,2.99315,4.999972e-01,1.449207e-01
4.357821e-09,3.17397,4.999940e-01,1.387428e-01
4.357821e-09,3.35479,4.999880e-01,1.348342e-01
4.357821e-09,3.53562,4.999777e-01,1.329122e-01
4.357821e-09,3.71644,4.999610e-01,1.327196e-01
4.357821e-09,3.89726,4.999352e-01,1.340233e-01
4.357821e-09,4.07808,4.998972e-01,1.366120e-01
4.357821e-09,4.25890,4.998431e-01,1.402949e-01
4.357821e-09,4.43973,4.997689e-01,1.449005e-01
4.357821e-09,4.62055,4.996696e-01,1.502750e-01
4.357821e-09,4.80137,4.995404e-01,1.562809e-01
4.357821e-09,4.98219,4.993760e-01,1.627966e-01
4.357821e-09,5.16301,4.991708e-01,1.697144e-01
4.357821e-09,5.34384,4.989195e-01,1.769396e-01
4.357821e-09,5.52466,4.986166e-01,1.843896e-01
4.357821e-09,5.70548,4.982568e-01,1.919928e-01
4.357821e-09,5.88630,4.978351e-01,1.996870e-01
4.357821e-09,6.06712,4.973467e-01,2.074194e-01
4.357821e-09,6.24795,4.967872e-01,2.151445e-01
4.357821e-09,6.42877,4.961526e-01,2.228243e-01
4.357821e-09,6.60959,4.954396e-01,2.304267e-01
4.357821e-09,6.79041,4.946452e-01,2.379254e-01
4.357821e-09,6.97123,4.937668e-01,2.452985e-01
4.357821e-09,7.15205,4.928025e-01,2.525287e-01
4.357821e-09,7.33288,4.917511e-01,2.596020e-01
4.357821e-09,7.51370,4.906115e-01,2.665078e-01
4.357821e-09,7.69452,4.893836e-01,2.732381e-01
4.357821e-09,7.87534,4.880675e-01,2.797872e-01
4.357821e-09,8.05616,4.866638e-01,2.861514e-01
4.357821e-09,8.23699,4.851737e-01,2.923288e-01
4.357821e-09,8.41781,4.835989e-01,2.983187e-01
4.357821e-09,8.59863,4.819411e-01,3.041218e-01
4.357821e-09,8.77945,4.802029e-01,3.097396e-01
4.357821e-09,8.96027,4.783868e-01,3.151745e-01
4.357821e-09,9.14110,4.764959e-01,3.204295e-01
4.357821e-09,9.32192,4.745333e-01,3.255083e-01
4.357821e-09,9.50274,4.725027e-01,3.304147e-01
4.357821e-09,9.68356,4.704076e-01,3.351530e-01
4.357821e-09,9.86438,4.682519e-01,3.397279e-01
5.849561e-09,0.10000,5.000000e-01,5.000000e-01
5.849561e-09,0.28082,5.000000e-01,4.999879e-01
5.849561e-09,0.46164,5.000000e-01,4.984501e-01
5.849561e-09,0.64247,5.000000e-01,4.872019e-01
